Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
The House,2022,Paloma Baeza,F,Mia Goth,F,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
Alien³,1992,David Fincher,M,Sigourney Weaver,F,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can."
The Strangers,2008,Bryan Bertino,M,Liv Tyler,F,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive."
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,F,Sheila Vand,F,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
Annabelle,2014,John R. Leonetti,M,Annabelle Wallis,F,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle."
Gerald's Game,2017,Mike Flanagan,M,Carla Gugino,F,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice."
Death Becomes Her,1992,Robert Zemeckis,M,Goldie Hawn,F,"Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot."
I Know What You Did Last Summer,1997,Jim Gillespie,M,Jennifer Love Hewitt,F,"As they celebrate their high school graduation, four friends are involved in a hit-and-run accident when their car hits and apparently kills a pedestrian on an isolated roadway. They dispose of the body and vow to keep the incident a secret, a year later somebody starts sending them letters bearing the warning ""I Know What You Did Last Summer""."
Texas Chainsaw Massacre,2022,David Blue Garcia,M,Sarah Yarkin,F,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin."
Inland Empire,2006,David Lynch,M,Laura Dern,F,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.
Black Christmas,1974,Bob Clark,M,Olivia Hussey,F,A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.
Ma,2019,Tate Taylor,M,Octavia Spencer,F,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own."
The Night House,2020,David Bruckner,M,Rebecca Hall,F,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets."
Escape Room,2019,Adam Robitel,M,Taylor Russell,F,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive."
Drag Me to Hell,2009,Sam Raimi,M,Alison Lohman,F,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell."
Stoker,2013,Park Chan-wook,M,Mia Wasikowska,F,"After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him."
House of Wax,2005,Jaume Collet-Serra,M,Elisha Cuthbert,F,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
Orphan: First Kill,2022,William Brent Bell,M,Isabelle Fuhrman,F,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost."
The New Mutants,2020,Josh Boone,M,Blu Hunt,F,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
You're Next,2011,Adam Wingard,M,Sharni Vinson,F,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back."
Scary Stories to Tell in the Dark,2019,André Øvredal,M,Zoe Colletti,F,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Sarah and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control."
Ginger Snaps,2000,John Fawcett,M,Katharine Isabelle,F,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself."
Silent Hill,2006,Christophe Gans,M,Radha Mitchell,F,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself."
We're All Going to the World's Fair,2021,Jane Schoenbrun,F,Anna Cobb,F,"Reality and fantasy begin to blur when teenager Casey, alone in her attic bedroom, immerses herself in a role-playing horror game online."
Ring,1998,Hideo Nakata,M,Nanako Matsushima,F,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger."
Watcher,2022,Chloe Okuno,F,Maika Monroe,F,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street."
Final Destination 3,2006,James Wong,M,Mary Elizabeth Winstead,F,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate."
The Hunt,2020,Craig Zobel,M,Betty Gilpin,F,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers."
Don't Look Now,1973,Nicolas Roeg,M,Julie Christie,F,"Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife."
Swallow,2019,Carlo Mirabella-Davis,M,Haley Bennett,F,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession."
Annabelle: Creation,2017,David F. Sandberg,M,Stephanie Sigman,F,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle."
Halloween II,1981,Rick Rosenthal,M,Jamie Lee Curtis,F,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim."
Unfriended,2014,Levan Gabriadze,M,Shelley Hennig,F,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead."
Host,2020,Rob Savage,M,Haley Bishop,F,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night."
Funny Games,2007,Michael Haneke,M,Naomi Watts,F,"When Ann, husband George, and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive."
Resident Evil,2002,Paul W. S. Anderson,M,Milla Jovovich,F,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak."
The Boogeyman,2023,Rob Savage,M,Sophie Thatcher,F,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late."
Dawn of the Dead,2004,Zack Snyder,M,Sarah Polley,F,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies."
Happy Death Day 2U,2019,Christopher Landon,M,Jessica Rothe,F,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone."
Underwater,2020,William Eubank,M,Kristen Stewart,F,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time."
Lights Out,2016,David F. Sandberg,M,Teresa Palmer,F,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasn’t real when the lights went out…and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged."
Alien Resurrection,1997,Jean-Pierre Jeunet,M,Sigourney Weaver,F,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth."
The Lodge,2019,Veronika Franz,F,Riley Keough,F,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place."
Hellraiser,2022,David Bruckner,M,Odessa A'zion,F,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension."
Un Chien Andalou,1929,Luis Buñuel,M,Simone Mareuil,F,Un Chien Andalou is a classic European avant-garde surrealist film from the cooperation of director Luis Buñuel and Salvador Dali. The film changed the way people made movies. Most famous is the scene of a woman’s eye being cut with a knife.
Velvet Buzzsaw,2019,Dan Gilroy,M,Rene Russo,F,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art."
Lake Mungo,2008,Joel Anderson,M,Rosie Traynor,F,"After 16-year-old Alice Palmer drowns in a local dam, her family experiences a series of strange, inexplicable events centred in and around their home. Unsettled, the Palmers seek the help of psychic and parapsychologist, who discovers that Alice led a secret, double life. At Lake Mungo, Alice's secret past emerges."
Wendell & Wild,2022,Henry Selick,M,Lyric Ross,F,Two demon brothers enlist the aid of Kat Elliot — a tough teen with a load of guilt — to summon them to the Land of the Living. But what Kat demands in return leads to a brilliantly bizarre and comedic adventure like no other.
The Watchers,2024,Ishana Night Shyamalan,F,Dakota Fanning,F,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
Jeepers Creepers,2001,Victor Salva,M,Gina Philips,F,A brother and sister driving home through an isolated countryside from college encounter a flesh-eating creature in the midst of its ritualistic eating spree.
Crawl,2019,Alexandre Aja,M,Kaya Scodelario,F,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems."
The Fog,1980,John Carpenter,M,Adrienne Barbeau,F,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die."
Scanners,1981,David Cronenberg,M,Jennifer O'Neill,F,"After a man with extraordinary—and frighteningly destructive—telepathic abilities is nabbed by agents from a mysterious rogue corporation, he discovers he is far from the only possessor of such strange powers, and that some of the other “scanners” have their minds set on world domination, while others are trying to stop them."
Sleepaway Camp,1983,Robert Hiltzik,M,Felissa Rose,F,"Slightly disturbed and painfully shy Angela Baker is sent away to summer camp with her cousin. Not long after Angela's arrival, things start to go horribly wrong for anyone with sinister or less than honorable intentions."
What Ever Happened to Baby Jane?,1962,Robert Aldrich,M,Bette Davis,F,"Two aging film actresses live as virtual recluses in an old Hollywood mansion. Jane Hudson, a successful child star, cares for her crippled sister Blanche, whose career in later years eclipsed that of Jane. Now the two live together, their relationship affected by simmering subconscious thoughts of mutual envy, hate and revenge."
Carrie,2013,Kimberly Peirce,F,Chloë Grace Moretz,F,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom."
A Tale of Two Sisters,2003,Kim Jee-woon,M,Lim Soo-jung,F,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house- all of which are connected to a dark past in the family's history."
Friday the 13th Part 2,1981,Steve Miner,M,Amy Steel,F,"Five years after the horrible bloodbath at Camp Crystal Lake, it seems Jason Voorhees and his demented mother are in the past. Paul opens up a new camp close to the infamous site, ignoring warnings to stay away, and a sexually-charged group of counselors follow -- including child psychologist major Ginny. But Jason has been hiding out all this time, and now he's ready for revenge."
Annabelle Comes Home,2019,Gary Dauberman,M,Vera Farmiga,F,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends."
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,M,Patricia Arquette,F,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide."
Onibaba,1964,Kaneto Shindō,M,Nobuko Otowa,F,"While her son, Kichi, is away at war, a woman and her daughter-in-law survive by killing samurai who stray into their swamp, then selling whatever valuables they find. Both are devastated when they learn that Kichi has died, but his wife soon begins an affair with a neighbor who survived the war, Hachi. The mother disapproves and, when she can't steal Hachi for herself, tries to scare her daughter-in-law with a mysterious mask from a dead samurai."
Incantation,2022,Kevin Ko,M,Hsuan-yen Tsai,F,"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse."
In the Tall Grass,2019,Vincenzo Natali,M,Laysla De Oliveira,F,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth."
Repulsion,1965,Roman Polanski,M,Catherine Deneuve,F,"In Roman Polanski's first English-language film, beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness."
Under Paris,2024,Xavier Gens,M,Bérénice Bejo,F,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine."
The Shallows,2016,Jaume Collet-Serra,M,Blake Lively,F,"When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude."
Oculus,2013,Mike Flanagan,M,Karen Gillan,F,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.
Diabolique,1955,Henri-Georges Clouzot,M,Véra Clouzot,F,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears."
Cam,2018,Daniel Goldhaber,M,Madeline Brewer,F,A young camgirl discovers that she’s inexplicably been replaced on her site with an exact replica of herself.
Triangle,2009,Christopher Smith,M,Melissa George,F,"When Jess sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong. Her suspicions are realised when the yacht hits a storm and the group is forced to board a passing ocean liner to get to safety, a ship Jess is convinced she’s been on before."
Dressed to Kill,1980,Brian De Palma,M,Nancy Allen,F,"A mysterious, tall, blonde woman wearing sunglasses murders one of a psychiatrist's patients, and now she's after the prostitute who witnessed it."
Planet Terror,2007,Robert Rodriguez,M,Rose McGowan,F,"Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend Wray lead a team of accidental warriors into the night."
The Boy,2016,William Brent Bell,M,Lauren Cohan,F,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
The Orphanage,2007,J. A. Bayona,M,Belén Rueda,F,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend."
Mama,2013,Andy Muschietti,M,Jessica Chastain,F,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night."
Revenge,2017,Coralie Fargeat,F,Matilda Anna Ingrid Lutz,F,Jen's romantic getaway with her wealthy (married) boyfriend is disrupted when his friends arrive for an impromptu hunting trip. Tension mounts at the house until the situation culminates in an unexpected way.
May,2002,Lucky McKee,M,Angela Bettis,F,"Psychological horror about a lonely young woman traumatized by a difficult childhood, and her increasingly desperate attempts to connect with the people around her."
AVP: Alien vs. Predator,2004,Paul W. S. Anderson,M,Sanaa Lathan,F,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race."
The Cloverfield Paradox,2018,Julius Onah,M,Gugu Mbatha-Raw,F,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
Carnival of Souls,1962,Herk Harvey,M,Candace Hilligoss,F,"Mary Henry ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put the incident behind her, she moves to Utah and takes a job as a church organist. But her fresh start is interrupted by visions of a fiendish man. As the visions begin to occur more frequently, Mary finds herself drawn to the deserted carnival on the outskirts of town. The strangely alluring carnival may hold the secret to her tragic past."
The Strangers: Chapter 1,2024,Renny Harlin,M,Madelaine Petsch,F,"After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives."
Bride of Chucky,1998,Ronny Yu,M,Jennifer Tilly,F,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts."
The Perfection,2018,Richard Shepard,M,Allison Williams,F,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences."
The House of the Devil,2009,Ti West,M,Jocelin Donahue,F,"In the 1980s, college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret."
I See You,2019,Adam Randall,M,Helen Hunt,F,"When a 12-year-old boy goes missing, lead investigator Greg Harper struggles to balance the pressure of the investigation and troubles with his wife, Jackie. Facing a recent affair, great strain is put on the family that slowly gnaws away at Jackie's grip on reality. But after a malicious presence manifests itself in their home and puts their son, Connor, in mortal danger, the cold, hard truth about evil in the Harper household is finally uncovered."
Escape Room: Tournament of Champions,2021,Adam Robitel,M,Taylor Russell,F,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before."
The Devil's Backbone,2001,Guillermo del Toro,M,Marisa Paredes,F,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge."
Friday the 13th: The Final Chapter,1984,Joseph Zito,M,Judie Aronson,F,"After the Crystal Lake Massacres, Jason is pronounced dead and taken to the hospital morgue, where he is mysteriously revived, allowing his diabolical killing spree to continue at the camp where the gruesome slaughtering began. But this time, in addition to terrified teenagers, he meets a young boy named Tommy who has a special talent for horror masks and make up, leading up to a horrifying, bloody battle! Has Jason finally met his match?"
Insidious: Chapter 3,2015,Leigh Whannell,M,Stefanie Scott,F,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'."
The Taking of Deborah Logan,2014,Adam Robitel,M,Jill Larson,F,"What starts as a poignant medical documentary about Deborah Logan's descent into Alzheimer's disease and her daughter's struggles as caregiver degenerates into a maddening portrayal of dementia at its most frightening, as hair-raising events begin to plague the family and crew and an unspeakable malevolence threatens to tear the very fabric of sanity from them all."
The Wolf House,2018,Cristóbal León,M,Amalia Kassai,F,"María, a girl from Colonia Dignidad, in Chile —a kind of sectarian community, tyrannically mastered by the ruthless Paul Schäfer, a German madman, religious fanatic and child predator, who would end up turning the place into a torture center at the service of the military dictatorship ruled by Augusto Pinochet—, is punished for having lost three pigs, so she decides to run away and take refuge in an abandoned house hidden in the forest."
